movieId,title,genres,genres_clean,tags_combined,content_text,n_ratings,effective_alpha
62,Mr. Holland's Opus (1995),Drama,Drama,music,Drama music,80,0.6588235294117647
63,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,Comedy Crime,,Comedy Crime,7,0.4083333333333333
64,Two if by Sea (1996),Comedy|Romance,Comedy Romance,,Comedy Romance,5,0.35
65,Bio-Dome (1996),Comedy,Comedy,,Comedy,31,0.6027777777777777
66,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,Action Sci-Fi Thriller,,Action Sci-Fi Thriller,9,0.45
68,French Twist (Gazon maudit) (1995),Comedy|Romance,Comedy Romance,,Comedy Romance,5,0.35
69,Friday (1995),Comedy,Comedy,,Comedy,20,0.5599999999999999
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,Action Comedy Horror Thriller,,Action Comedy Horror Thriller,55,0.6416666666666666
71,Fair Game (1995),Action,Action,,Action,5,0.35
72,Kicking and Screaming (1995),Comedy|Drama,Comedy Drama,,Comedy Drama,7,0.4083333333333333
73,"Misérables, Les (1995)",Drama|War,Drama War,,Drama War,13,0.5055555555555555
74,Bed of Roses (1996),Drama|Romance,Drama Romance,,Drama Romance,8,0.4307692307692308
75,Big Bully (1996),Comedy|Drama,Comedy Drama,,Comedy Drama,5,0.35
76,Screamers (1995),Action|Sci-Fi|Thriller,Action Sci-Fi Thriller,,Action Sci-Fi Thriller,15,0.5249999999999999
77,Nico Icon (1995),Documentary,Documentary,,Documentary,1,0.11666666666666665
78,"Crossing Guard, The (1995)",Action|Crime|Drama|Thriller,Action Crime Drama Thriller,,Action Crime Drama Thriller,3,0.26249999999999996
79,"Juror, The (1996)",Drama|Thriller,Drama Thriller,,Drama Thriller,17,0.5409090909090909
80,"White Balloon, The (Badkonake sefid) (1995)",Children|Drama,Children Drama,,Children Drama,2,0.19999999999999998
81,Things to Do in Denver When You're Dead (1995),Crime|Drama|Romance,Crime Drama Romance,,Crime Drama Romance,14,0.5157894736842105
82,Antonia's Line (Antonia) (1995),Comedy|Drama,Comedy Drama,,Comedy Drama,8,0.4307692307692308
83,Once Upon a Time... When We Were Colored (1995),Drama|Romance,Drama Romance,,Drama Romance,1,0.11666666666666665
85,Angels and Insects (1995),Drama|Romance,Drama Romance,,Drama Romance,7,0.4083333333333333
86,White Squall (1996),Action|Adventure|Drama,Action Adventure Drama,,Action Adventure Drama,15,0.5249999999999999
87,Dunston Checks In (1996),Children|Comedy,Children Comedy,,Children Comedy,7,0.4083333333333333
88,Black Sheep (1996),Comedy,Comedy,,Comedy,16,0.5333333333333332
89,Nick of Time (1995),Action|Thriller,Action Thriller,,Action Thriller,10,0.4666666666666666
92,Mary Reilly (1996),Drama|Horror|Thriller,Drama Horror Thriller,jekyll and hyde,Drama Horror Thriller jekyll and hyde,8,0.4307692307692308
93,Vampire in Brooklyn (1995),Comedy|Horror|Romance,Comedy Horror Romance,,Comedy Horror Romance,9,0.45
94,Beautiful Girls (1996),Comedy|Drama|Romance,Comedy Drama Romance,,Comedy Drama Romance,10,0.4666666666666666
95,Broken Arrow (1996),Action|Adventure|Thriller,Action Adventure Thriller,,Action Adventure Thriller,84,0.6606741573033708
96,In the Bleak Midwinter (1995),Comedy|Drama,Comedy Drama,theater,Comedy Drama theater,1,0.11666666666666665
97,"Hate (Haine, La) (1995)",Crime|Drama,Crime Drama,,Crime Drama,10,0.4666666666666666
99,Heidi Fleiss: Hollywood Madam (1995),Documentary,Documentary,,Documentary,2,0.19999999999999998
100,City Hall (1996),Drama|Thriller,Drama Thriller,,Drama Thriller,14,0.5157894736842105
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance,Adventure Comedy Crime Romance,crime off-beat comedy quirky,Adventure Comedy Crime Romance crime off-beat comedy quirky,23,0.575
102,Mr. Wrong (1996),Comedy,Comedy,,Comedy,5,0.35
103,Unforgettable (1996),Mystery|Sci-Fi|Thriller,Mystery Sci-Fi Thriller,,Mystery Sci-Fi Thriller,3,0.26249999999999996
104,Happy Gilmore (1996),Comedy,Comedy,test tag golf adam sandler,Comedy test tag golf adam sandler,99,0.6663461538461538
105,"Bridges of Madison County, The (1995)",Drama|Romance,Drama Romance,,Drama Romance,23,0.575
106,Nobody Loves Me (Keiner liebt mich) (1994),Comedy|Drama,Comedy Drama,,Comedy Drama,1,0.11666666666666665
107,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,Adventure Children Comedy Musical,muppets,Adventure Children Comedy Musical muppets,26,0.5870967741935483
108,Catwalk (1996),Documentary,Documentary,,Documentary,1,0.11666666666666665
110,Braveheart (1995),Action|Drama|War,Action Drama War,beautiful scenery epic historical inspirational medieval mel gibson oscar (best cinematography) revenge sword fight scotland,Action Drama War beautiful scenery epic historical inspirational medieval mel gibson oscar (best cinematography) revenge sword fight scotland,237,0.6855371900826446
111,Taxi Driver (1976),Crime|Drama|Thriller,Crime Drama Thriller,assassination,Crime Drama Thriller assassination,104,0.6678899082568808
112,Rumble in the Bronx (Hont faan kui) (1995),Action|Adventure|Comedy|Crime,Action Adventure Comedy Crime,,Action Adventure Comedy Crime,46,0.6313725490196078
113,Before and After (1996),Drama|Mystery,Drama Mystery,,Drama Mystery,3,0.26249999999999996
116,Anne Frank Remembered (1995),Documentary,Documentary,holocaust,Documentary holocaust,5,0.35
117,"Young Poisoner's Handbook, The (1995)",Crime|Drama,Crime Drama,,Crime Drama,1,0.11666666666666665
118,If Lucy Fell (1996),Comedy|Romance,Comedy Romance,,Comedy Romance,2,0.19999999999999998
119,"Steal Big, Steal Little (1995)",Comedy,Comedy,,Comedy,2,0.19999999999999998
121,"Boys of St. Vincent, The (1992)",Drama,Drama,,Drama,2,0.19999999999999998
122,Boomerang (1992),Comedy|Romance,Comedy Romance,dating,Comedy Romance dating,16,0.5333333333333332
123,Chungking Express (Chung Hing sam lam) (1994),Drama|Mystery|Romance,Drama Mystery Romance,,Drama Mystery Romance,4,0.31111111111111106
125,Flirting With Disaster (1996),Comedy,Comedy,,Comedy,12,0.49411764705882355
126,"NeverEnding Story III, The (1994)",Adventure|Children|Fantasy,Adventure Children Fantasy,,Adventure Children Fantasy,7,0.4083333333333333
128,Jupiter's Wife (1994),Documentary,Documentary,,Documentary,1,0.11666666666666665
129,Pie in the Sky (1996),Comedy|Romance,Comedy Romance,,Comedy Romance,1,0.11666666666666665
132,Jade (1995),Thriller,Thriller,,Thriller,6,0.3818181818181818
135,Down Periscope (1996),Comedy,Comedy,,Comedy,31,0.6027777777777777
137,Man of the Year (1995),Documentary,Documentary,,Documentary,1,0.11666666666666665
140,Up Close and Personal (1996),Drama|Romance,Drama Romance,journalism,Drama Romance journalism,16,0.5333333333333332
141,"Birdcage, The (1996)",Comedy,Comedy,,Comedy,86,0.6615384615384615
144,"Brothers McMullen, The (1995)",Comedy,Comedy,,Comedy,12,0.49411764705882355
145,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,Action Comedy Crime Drama Thriller,,Action Comedy Crime Drama Thriller,51,0.6375
146,"Amazing Panda Adventure, The (1995)",Adventure|Children,Adventure Children,,Adventure Children,3,0.26249999999999996
147,"Basketball Diaries, The (1995)",Drama,Drama,addiction heroin leonardo dicaprio mark wahlberg,Drama addiction heroin leonardo dicaprio mark wahlberg,15,0.5249999999999999
148,"Awfully Big Adventure, An (1995)",Drama,Drama,,Drama,1,0.11666666666666665
149,Amateur (1994),Crime|Drama|Thriller,Crime Drama Thriller,,Crime Drama Thriller,1,0.11666666666666665
150,Apollo 13 (1995),Adventure|Drama|IMAX,Adventure Drama IMAX,moon nasa space,Adventure Drama IMAX moon nasa space,201,0.683009708737864
151,Rob Roy (1995),Action|Drama|Romance|War,Action Drama Romance War,,Action Drama Romance War,44,0.6285714285714286
152,"Addiction, The (1995)",Drama|Horror,Drama Horror,,Drama Horror,2,0.19999999999999998
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,Action Adventure Comedy Crime,superhero superhero,Action Adventure Comedy Crime superhero superhero,137,0.6753521126760563
154,Beauty of the Day (Belle de jour) (1967),Drama,Drama,,Drama,12,0.49411764705882355
155,Beyond Rangoon (1995),Adventure|Drama|War,Adventure Drama War,,Adventure Drama War,6,0.3818181818181818
156,Blue in the Face (1995),Comedy|Drama,Comedy Drama,,Comedy Drama,3,0.26249999999999996
157,Canadian Bacon (1995),Comedy|War,Comedy War,,Comedy War,11,0.48124999999999996
158,Casper (1995),Adventure|Children,Adventure Children,,Adventure Children,62,0.6477611940298507
159,Clockers (1995),Crime|Drama|Mystery,Crime Drama Mystery,,Crime Drama Mystery,14,0.5157894736842105
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,Action Adventure Mystery Sci-Fi,michael crichton,Action Adventure Mystery Sci-Fi michael crichton,57,0.6435483870967741
161,Crimson Tide (1995),Drama|Thriller|War,Drama Thriller War,submarine,Drama Thriller War submarine,103,0.6675925925925925
162,Crumb (1994),Documentary,Documentary,in netflix queue,Documentary in netflix queue,17,0.5409090909090909
163,Desperado (1995),Action|Romance|Western,Action Romance Western,,Action Romance Western,66,0.6507042253521126
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,Crime Film-Noir Mystery Thriller,,Crime Film-Noir Mystery Thriller,14,0.5157894736842105
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller,Action Crime Thriller,,Action Crime Thriller,144,0.676510067114094
166,"Doom Generation, The (1995)",Comedy|Crime|Drama,Comedy Crime Drama,,Comedy Crime Drama,3,0.26249999999999996
168,First Knight (1995),Action|Drama|Romance,Action Drama Romance,,Action Drama Romance,54,0.6406779661016949
169,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,Adventure Children Drama,,Adventure Children Drama,10,0.4666666666666666
170,Hackers (1995),Action|Adventure|Crime|Thriller,Action Adventure Crime Thriller,,Action Adventure Crime Thriller,35,0.6124999999999999
171,Jeffrey (1995),Comedy|Drama,Comedy Drama,,Comedy Drama,6,0.3818181818181818
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,Action Sci-Fi Thriller,,Action Sci-Fi Thriller,53,0.6396551724137931
173,Judge Dredd (1995),Action|Crime|Sci-Fi,Action Crime Sci-Fi,,Action Crime Sci-Fi,62,0.6477611940298507
174,Jury Duty (1995),Comedy,Comedy,,Comedy,10,0.4666666666666666
175,Kids (1995),Drama,Drama,controversial new york city nudity (full frontal),Drama controversial new york city nudity (full frontal),20,0.5599999999999999
176,Living in Oblivion (1995),Comedy,Comedy,,Comedy,13,0.5055555555555555
177,Lord of Illusions (1995),Horror,Horror,,Horror,8,0.4307692307692308
178,Love & Human Remains (1993),Comedy|Drama,Comedy Drama,,Comedy Drama,1,0.11666666666666665
179,Mad Love (1995),Drama|Romance,Drama Romance,,Drama Romance,2,0.19999999999999998
180,Mallrats (1995),Comedy|Romance,Comedy Romance,,Comedy Romance,36,0.6146341463414634
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children,Action Children,,Action Children,17,0.5409090909090909
183,Mute Witness (1994),Comedy|Horror|Thriller,Comedy Horror Thriller,,Comedy Horror Thriller,2,0.19999999999999998
184,Nadja (1994),Drama,Drama,,Drama,2,0.19999999999999998
185,"Net, The (1995)",Action|Crime|Thriller,Action Crime Thriller,computers,Action Crime Thriller computers,112,0.67008547008547
186,Nine Months (1995),Comedy|Romance,Comedy Romance,,Comedy Romance,48,0.6339622641509434
187,Party Girl (1995),Comedy,Comedy,,Comedy,4,0.31111111111111106
188,"Prophecy, The (1995)",Fantasy|Horror|Mystery,Fantasy Horror Mystery,,Fantasy Horror Mystery,12,0.49411764705882355
189,Reckless (1995),Comedy|Fantasy,Comedy Fantasy,,Comedy Fantasy,1,0.11666666666666665
190,Safe (1995),Thriller,Thriller,,Thriller,5,0.35
191,"Scarlet Letter, The (1995)",Drama|Romance,Drama Romance,,Drama Romance,6,0.3818181818181818
193,Showgirls (1995),Drama,Drama,,Drama,35,0.6124999999999999
194,Smoke (1995),Comedy|Drama,Comedy Drama,,Comedy Drama,18,0.5478260869565217
195,Something to Talk About (1995),Comedy|Drama|Romance,Comedy Drama Romance,,Comedy Drama Romance,10,0.4666666666666666
196,Species (1995),Horror|Sci-Fi,Horror Sci-Fi,,Horror Sci-Fi,45,0.63
198,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,Action Crime Drama Mystery Sci-Fi Thriller,,Action Crime Drama Mystery Sci-Fi Thriller,28,0.5939393939393939
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical|Romance,Drama Musical Romance,made me cry,Drama Musical Romance made me cry,4,0.31111111111111106
201,Three Wishes (1995),Drama|Fantasy,Drama Fantasy,,Drama Fantasy,1,0.11666666666666665
202,Total Eclipse (1995),Drama|Romance,Drama Romance,,Drama Romance,1,0.11666666666666665
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,Comedy,,Comedy,22,0.5703703703703703
204,Under Siege 2: Dark Territory (1995),Action,Action,,Action,30,0.6
205,Unstrung Heroes (1995),Comedy|Drama,Comedy Drama,,Comedy Drama,9,0.45
206,Unzipped (1995),Documentary,Documentary,,Documentary,2,0.19999999999999998
207,"Walk in the Clouds, A (1995)",Drama|Romance,Drama Romance,,Drama Romance,21,0.5653846153846154
208,Waterworld (1995),Action|Adventure|Sci-Fi,Action Adventure Sci-Fi,,Action Adventure Sci-Fi,115,0.6708333333333333
209,White Man's Burden (1995),Drama,Drama,,Drama,3,0.26249999999999996
210,Wild Bill (1995),Western,Western,,Western,4,0.31111111111111106
211,"Browning Version, The (1994)",Drama,Drama,,Drama,2,0.19999999999999998
212,Bushwhacked (1995),Adventure|Comedy|Crime|Mystery,Adventure Comedy Crime Mystery,,Adventure Comedy Crime Mystery,3,0.26249999999999996
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),Drama,Drama,,Drama,6,0.3818181818181818
214,Before the Rain (Pred dozhdot) (1994),Drama|War,Drama War,,Drama War,2,0.19999999999999998
215,Before Sunrise (1995),Drama|Romance,Drama Romance,generation x,Drama Romance generation x,24,0.5793103448275861
216,Billy Madison (1995),Comedy,Comedy,school adam sandler stop looking at me swan,Comedy school adam sandler stop looking at me swan,49,0.6351851851851852
217,"Babysitter, The (1995)",Drama|Thriller,Drama Thriller,,Drama Thriller,6,0.3818181818181818
218,Boys on the Side (1995),Comedy|Drama,Comedy Drama,,Comedy Drama,14,0.5157894736842105
219,"Cure, The (1995)",Drama,Drama,,Drama,1,0.11666666666666665
220,Castle Freak (1995),Horror,Horror,,Horror,1,0.11666666666666665
222,Circle of Friends (1995),Drama|Romance,Drama Romance,ireland,Drama Romance ireland,16,0.5333333333333332
223,Clerks (1994),Comedy,Comedy,cynical hilarious independent film quirky witty generation x,Comedy cynical hilarious independent film quirky witty generation x,104,0.6678899082568808
224,Don Juan DeMarco (1995),Comedy|Drama|Romance,Comedy Drama Romance,mental illness psychology,Comedy Drama Romance mental illness psychology,40,0.6222222222222221
225,Disclosure (1994),Drama|Thriller,Drama Thriller,,Drama Thriller,52,0.63859649122807
227,Drop Zone (1994),Action|Thriller,Action Thriller,,Action Thriller,22,0.5703703703703703
228,Destiny Turns on the Radio (1995),Comedy,Comedy,,Comedy,3,0.26249999999999996
229,Death and the Maiden (1994),Drama|Thriller,Drama Thriller,,Drama Thriller,7,0.4083333333333333
230,Dolores Claiborne (1995),Drama|Thriller,Drama Thriller,stephen king,Drama Thriller stephen king,24,0.5793103448275861
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy,Adventure Comedy,,Adventure Comedy,133,0.6746376811594202
232,Eat Drink Man Woman (Yin shi nan nu) (1994),Comedy|Drama|Romance,Comedy Drama Romance,in netflix queue,Comedy Drama Romance in netflix queue,14,0.5157894736842105
233,Exotica (1994),Drama,Drama,,Drama,12,0.49411764705882355
234,Exit to Eden (1994),Comedy,Comedy,,Comedy,17,0.5409090909090909
235,Ed Wood (1994),Comedy|Drama,Comedy Drama,movie business,Comedy Drama movie business,70,0.6533333333333333
236,French Kiss (1995),Action|Comedy|Romance,Action Comedy Romance,,Action Comedy Romance,45,0.63
237,Forget Paris (1995),Comedy|Romance,Comedy Romance,basketball france infertility,Comedy Romance basketball france infertility,22,0.5703703703703703
238,Far From Home: The Adventures of Yellow Dog (1995),Adventure|Children,Adventure Children,,Adventure Children,2,0.19999999999999998
239,"Goofy Movie, A (1995)",Animation|Children|Comedy|Romance,Animation Children Comedy Romance,,Animation Children Comedy Romance,17,0.5409090909090909
240,Hideaway (1995),Thriller,Thriller,,Thriller,4,0.31111111111111106
241,Fluke (1995),Children|Drama,Children Drama,,Children Drama,1,0.11666666666666665
242,Farinelli: il castrato (1994),Drama|Musical,Drama Musical,,Drama Musical,5,0.35
243,Gordy (1995),Children|Comedy|Fantasy,Children Comedy Fantasy,,Children Comedy Fantasy,1,0.11666666666666665
246,Hoop Dreams (1994),Documentary,Documentary,basketball,Documentary basketball,29,0.5970588235294118
247,Heavenly Creatures (1994),Crime|Drama,Crime Drama,australia,Crime Drama australia,21,0.5653846153846154
248,Houseguest (1994),Comedy,Comedy,bad sinbad,Comedy bad sinbad,17,0.5409090909090909
249,Immortal Beloved (1994),Drama|Romance,Drama Romance,beethoven,Drama Romance beethoven,18,0.5478260869565217
250,Heavyweights (Heavy Weights) (1995),Children|Comedy,Children Comedy,,Children Comedy,6,0.3818181818181818
251,"Hunted, The (1995)",Action,Action,,Action,3,0.26249999999999996
252,I.Q. (1994),Comedy|Romance,Comedy Romance,einstein,Comedy Romance einstein,43,0.6270833333333333
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror,Drama Horror,,Drama Horror,109,0.6692982456140351
254,Jefferson in Paris (1995),Drama,Drama,,Drama,1,0.11666666666666665
255,"Jerky Boys, The (1995)",Comedy,Comedy,,Comedy,7,0.4083333333333333
256,Junior (1994),Comedy|Sci-Fi,Comedy Sci-Fi,,Comedy Sci-Fi,35,0.6124999999999999
257,Just Cause (1995),Mystery|Thriller,Mystery Thriller,court,Mystery Thriller court,14,0.5157894736842105
258,"Kid in King Arthur's Court, A (1995)",Adventure|Children|Comedy|Fantasy|Romance,Adventure Children Comedy Fantasy Romance,,Adventure Children Comedy Fantasy Romance,10,0.4666666666666666
259,Kiss of Death (1995),Crime|Drama|Thriller,Crime Drama Thriller,,Crime Drama Thriller,5,0.35
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi,Action Adventure Sci-Fi,classic space action action sci-fi epic great soundtrack classic sci-fi engrossing adventure epic classic nerd classic sci-fi space action space epic oldie but goodie sci-fi star wars robots and androids space classic sci-fi sci-fi space adventure star wars darth vader luke skywalker space opera,Action Adventure Sci-Fi classic space action action sci-fi epic great soundtrack classic sci-fi engrossing adventure epic classic nerd classic sci-fi space action space epic oldie but goodie sci-fi star wars robots and androids space classic sci-fi sci-fi space adventure star wars darth vader luke skywalker space opera,251,0.686328125
261,Little Women (1994),Drama,Drama,louisa may alcott,Drama louisa may alcott,42,0.6255319148936169
262,"Little Princess, A (1995)",Children|Drama,Children Drama,england girl power india,Children Drama england girl power india,21,0.5653846153846154
263,Ladybird Ladybird (1994),Drama,Drama,,Drama,1,0.11666666666666665
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Fantasy|Romance,Drama Fantasy Romance,,Drama Fantasy Romance,33,0.6078947368421053
266,Legends of the Fall (1994),Drama|Romance|War|Western,Drama Romance War Western,,Drama Romance War Western,68,0.6520547945205478
267,Major Payne (1995),Comedy,Comedy,,Comedy,17,0.5409090909090909
269,My Crazy Life (Mi vida loca) (1993),Drama,Drama,,Drama,2,0.19999999999999998
270,Love Affair (1994),Drama|Romance,Drama Romance,,Drama Romance,5,0.35
271,Losing Isaiah (1995),Drama,Drama,,Drama,4,0.31111111111111106
272,"Madness of King George, The (1994)",Comedy|Drama,Comedy Drama,england mental illness,Comedy Drama england mental illness,31,0.6027777777777777
273,Mary Shelley's Frankenstein (Frankenstein) (1994),Drama|Horror|Sci-Fi,Drama Horror Sci-Fi,gothic,Drama Horror Sci-Fi gothic,28,0.5939393939393939
274,Man of the House (1995),Comedy,Comedy,,Comedy,7,0.4083333333333333
275,Mixed Nuts (1994),Comedy,Comedy,,Comedy,6,0.3818181818181818
276,Milk Money (1994),Comedy|Romance,Comedy Romance,,Comedy Romance,22,0.5703703703703703
277,Miracle on 34th Street (1994),Drama,Drama,christmas,Drama christmas,38,0.6186046511627906
278,Miami Rhapsody (1995),Comedy,Comedy,,Comedy,2,0.19999999999999998
279,My Family (1995),Drama,Drama,in netflix queue,Drama in netflix queue,2,0.19999999999999998
280,Murder in the First (1995),Drama|Thriller,Drama Thriller,prison,Drama Thriller prison,13,0.5055555555555555
